produto_comercial,empresa,ingrediente_2,ingrediente
Volt,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,Acifluorfem-sodico (eteretilica) and bentazona (benzotiadiazinona),acifluorfem-sodico (eteretilica) and bentazona (benzotiadiazinona)
Walux,Dow Agrosciences Industrial Ltda. - Sao Paulo,"2,4_D Sal de Colina (acido ariloxialcanoico)","2,4_d sal de colina (acido ariloxialcanoico)"
Whip S,Bayer S.A. - Sao Paulo/ SP,fenoxaprope-P-etilico (Acido ariloxifenoxipropionico),fenoxaprope-p-etilico (acido ariloxifenoxipropionico)
Wolf,FMC Química do Brasil Ltda. - Campinas,metsulfurom-metilico (sulfonilurea),metsulfurom-metilico (sulfonilurea)
Xeque Mate,Iharabras S.A. Indústria Químicas - Sorocaba,glifosato-sal de potássio (glicina substituida),glifosato-sal de potássio (glicina substituida)
Zafera,ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba,glifosato-sal de amônio (glicina substituida),glifosato-sal de amônio (glicina substituida)
Zaphir,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,imazetapir (imidazolinona),imazetapir (imidazolinona)
Zapp QI 620,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,glifosato-sal de potássio (glicina substituida),glifosato-sal de potássio (glicina substituida)
Zartan,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,metsulfurom-metilico (sulfonilurea),metsulfurom-metilico (sulfonilurea)
Zavit,ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba,glifosato-sal de amônio (glicina substituida),glifosato-sal de amônio (glicina substituida)
Zest 750 WG,Cropchem Ltda,hexazinona (triazinona),hexazinona (triazinona)
Zethamaxx,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,flumioxazina (ciclohexenodicarboximida) and imazetapir (imidazolinona),flumioxazina (ciclohexenodicarboximida) and imazetapir (imidazolinona)
Zethapyr 106 SL,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,imazetapir (imidazolinona),imazetapir (imidazolinona)
Zino 750 WG,Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA,hexazinona (triazinona),hexazinona (triazinona)
Zonic,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,amicarbazona (triazolinona) and diurom (ureia) and hexazinona (triazinona),amicarbazona (triazolinona) and diurom (ureia) and hexazinona (triazinona)
Zura 806 SL,AllierBrasil Agro Ltda.,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
